Key,"pt","en"
login,"Entrar","Login"
welcome,"Bem vindo","Welcome"
btn_login,"Entrar","Login"
btn_signup,"Registrar","Sign Up"
signup.tos,"Ao criar uma conta, você concorda com nossos Termos de Serviço e Política de Privacidade. Por favor leia com cuidado o documento","By creating an account, you agree to our Terms of Service and Privacy Policy."
signup.frm.tos,"Li e aceitei os Termos de Serviço","I have read and accepted the Terms of Service"
signup_header,"Bem vindo a nossa pagina de registro!","Welcome to our registration page!"
signup_feature_1,"Conecte-se em minutos","Connect in minutes with our easy-to-use platform."
signup_feature_2,"Desenvolva aplicativos IoT rapidamente","Rapidly develop IoT applications"
signup_feature_3,"Obtenha insights valiosos com análises e visualizações integradas.","Gain valuable insights with built-in analytics and visualizations."
signup_feature_4,"Gerencie dispositivos remotamente com atualizações OTA.","Manage devices remotely with OTA updates."
signup.create_account,"Crie a sua conta","Create your account"
signup.login_prompt,"Já tem uma conta?","Already have an account?"
signup.login_link,"Entre aqui","Login here"
errors.stringMin,"Deve ter no mínimo 2 caracteres","Must be at least 2 characters"
errors.invalidEmail,"Endereço de email inválido","Invalid email address"
errors.fieldMandatory,"Este campo é obrigatório","This field is required"
errors.passwordMismatch,"As senhas não coincidem","Passwords do not match"
errors.passwordMin,"A senha deve ter no mínimo 6 caracteres","Password must be at least 6 characters"
